solicitacao_data,rpa_nome,count,latitude,longitude
2012-12-31,1-CENTRO,533,-8.114743726555322,-34.93224399784294
2012-12-31,2-NORTE,571,-8.010948067365176,-34.91350419168265
2012-12-31,3-NOROESTE,1210,-8.009894919680297,-34.915170632315984
2012-12-31,4-NORDESTE,328,-8.081167201908556,-34.946684031111886
2012-12-31,5-SUDOESTE,212,-8.037268062174153,-34.925347730896306
2012-12-31,6-SUL,331,-8.013031255425961,-34.92117921087638
2012-12-31,Não informado,89,-8.053575184611777,-34.89504000529415
2013-12-31,1-CENTRO,1202,-8.115713869420203,-34.934919382653746
2013-12-31,2-NORTE,960,-8.012081707230433,-34.91668104005274
2013-12-31,3-NOROESTE,1836,-8.010350934204288,-34.91562530844449
2013-12-31,4-NORDESTE,664,-8.096384753901344,-34.94156382606377
2013-12-31,5-SUDOESTE,317,-8.039923844921569,-34.92131118643544
2013-12-31,6-SUL,513,-7.992997435764026,-34.9201974551658
2013-12-31,Não informado,78,-8.037370316558444,-34.90789396493508
2014-12-31,1-CENTRO,856,-8.113951752268823,-34.93326501068933
2014-12-31,2-NORTE,747,-8.01799843657329,-34.916377230188644
2014-12-31,3-NOROESTE,1599,-8.014073062012256,-34.915454717701465
2014-12-31,4-NORDESTE,611,-8.092348606575273,-34.943954983152345
2014-12-31,5-SUDOESTE,306,-8.036039910615214,-34.923842792810575
2014-12-31,6-SUL,239,-7.995035378242681,-34.919200308368346
2014-12-31,Não informado,53,-8.052838209339624,-34.91052823207545
2015-12-31,1-CENTRO,913,-8.111214773770135,-34.93369122311063
2015-12-31,2-NORTE,661,-8.021052111535067,-34.918581091302634
2015-12-31,3-NOROESTE,1569,-8.013415878399995,-34.91435982622954
2015-12-31,4-NORDESTE,464,-8.075377912428907,-34.945891371997845
2015-12-31,5-SUDOESTE,301,-8.03639073539465,-34.921922827574875
2015-12-31,6-SUL,151,-7.996500345682123,-34.91794527417223
2015-12-31,Não informado,15,-8.0578381,-34.92144500000001
2016-12-31,1-CENTRO,1042,-8.10964462298865,-34.933664733877265
2016-12-31,2-NORTE,904,-8.012553424674044,-34.916442958629
2016-12-31,3-NOROESTE,1905,-8.011924593905787,-34.9153471224438
2016-12-31,4-NORDESTE,498,-8.075850833433764,-34.94483926728361
2016-12-31,5-SUDOESTE,308,-8.034199994124313,-34.92270000844167
2016-12-31,6-SUL,187,-7.999088712294119,-34.91715506791452
2016-12-31,Não informado,17,-8.0578381,-34.921445000000006
2017-12-31,1-CENTRO,1464,-8.113619795433715,-34.93367721700791
2017-12-31,2-NORTE,968,-8.020528166842734,-34.91563835413356
2017-12-31,3-NOROESTE,1834,-8.014935596091382,-34.91603916167115
2017-12-31,4-NORDESTE,718,-8.084794339062668,-34.94327247118185
2017-12-31,5-SUDOESTE,380,-8.043808657170686,-34.92343308736853
2017-12-31,6-SUL,192,-8.00267990988021,-34.91754847760426
2017-12-31,Não informado,33,-8.0578381,-34.92144499999998
2018-12-31,1-CENTRO,1125,-8.11310323834946,-34.933778168222055
2018-12-31,2-NORTE,909,-8.016587337957668,-34.91555846798772
2018-12-31,3-NOROESTE,1571,-8.01305742899497,-34.9155714754958
2018-12-31,4-NORDESTE,579,-8.083512980360123,-34.94462352730187
2018-12-31,5-SUDOESTE,278,-8.041330470965931,-34.921076311331056
2018-12-31,6-SUL,139,-7.99993556184892,-34.91633966438849
2018-12-31,Não informado,24,-8.0578381,-34.921444999999984
2019-12-31,1-CENTRO,1708,-8.111975826446626,-34.93314025219521
2019-12-31,2-NORTE,1449,-8.016355675214989,-34.91685588919928
2019-12-31,3-NOROESTE,2257,-8.016181941935494,-34.915241019839264
2019-12-31,4-NORDESTE,857,-8.085363293162766,-34.94360822807496
2019-12-31,5-SUDOESTE,512,-8.036561760650045,-34.923034601171835
2019-12-31,6-SUL,217,-7.99736361128111,-34.91793301774206
2019-12-31,Não informado,10,-8.0578381,-34.921445000000006
2020-12-31,1-CENTRO,1371,-8.110484626005846,-34.93352433898601
2020-12-31,2-NORTE,1249,-8.01250676676703,-34.91468342025572
2020-12-31,3-NOROESTE,1938,-8.014482572639617,-34.91600887384164
2020-12-31,4-NORDESTE,713,-8.087793816532251,-34.94336354152666
2020-12-31,5-SUDOESTE,358,-8.036866924846095,-34.92412147122919
2020-12-31,6-SUL,165,-8.000425329090913,-34.911768295757646
2020-12-31,Não informado,12,-8.0578381,-34.921445000000006
2021-12-31,1-CENTRO,1757,-8.106926095409122,-34.934008410358345
2021-12-31,2-NORTE,2040,-8.009314070320999,-34.91670360531824
2021-12-31,3-NOROESTE,2828,-8.011756014938417,-34.91546467936219
2021-12-31,4-NORDESTE,962,-8.088690209270785,-34.94454695557371
2021-12-31,5-SUDOESTE,492,-8.031493783144258,-34.920608998170756
2021-12-31,6-SUL,359,-7.995538286345345,-34.917888182033636
2021-12-31,Não informado,21,-8.0578381,-34.92144499999999
